first,second
qajaq,2.1156263221261082
xylyl,2.293492706103453
fuffy,2.3149520045545007
cocco,2.389290483338849
immix,2.3894877312462657
gyppy,2.3938418555173064
fuzzy,2.432467384383211
hyphy,2.4331050374644074
jeeze,2.4335041289911574
zocco,2.494419932063433
yukky,2.4957602873290026
zoppo,2.4979419531198914
jaffa,2.5012782740162542
bubby,2.513544059333175
jugum,2.526683997947693
civic,2.529265069890082
boffo,2.5385064113945384
oxbow,2.557516597690318
buzzy,2.595789491530275
yuppy,2.646139612294047
kudzu,2.64656782620874
yummy,2.6474260685821824
kibbi,2.6554950484459794
mummy,2.6725566501638847
whizz,2.6761209524027696
puppy,2.6822832389296583
vivid,2.6834288296124575
huzzy,2.6914457260596856
feeze,2.7062079534155807
fluff,2.7095675396360512
gynny,2.71563713804009
jiffy,2.7157210217080547
muzzy,2.717793629606221
jinni,2.7396354751769487
vuggy,2.74256491218935
quiff,2.745728613131952
fizzy,2.7495359815111393
gobbo,2.752135984027618
jujus,2.7532630935823326
pzazz,2.7549912203274824
phpht,2.761998168274473
hudud,2.7708059264789333
zizit,2.7895947920936695
ayaya,2.7957482428995646
mamma,2.8087747652729225
buffy,2.8094153579032346
duddy,2.814802209026184
zimbi,2.816721186819209
fubby,2.8241018751084215
chuff,2.8294672031407995
tuktu,2.842854241871263
bombo,2.870447834024668
yobby,2.8704782178356854
whiff,2.8739464439793583
chich,2.8744965078698193
butut,2.87627136587435
fuggy,2.8782219012116976
infix,2.883994010619762
yobbo,2.8884636597601663
bucku,2.8981244176723893
huffy,2.9049028664068293
bizzy,2.9075088099147295
jocko,2.909311989506251
susus,2.9094235745883332
bobby,2.9096155059205455
howff,2.9168327717586444
mezze,2.9181707612604657
ovolo,2.9229127479926755
woozy,2.9281710727068657
chizz,2.9283317036814616
exeem,2.9319019204966765
peepe,2.934009389383037
jazzy,2.9351745732037693
keeve,2.936062339403819
jiggy,2.9409941302438276
phizz,2.942102841424741
exeme,2.9459275672764114
puffy,2.946200598264022
pygmy,2.9522217261661976
cippi,2.954655390572047
mimic,2.9590135021057713
addax,2.9600338036610445
kooky,2.9621866494579705
choco,2.9642508503888796
yippy,2.9660576161031567
buchu,2.97125737702264
booby,2.975983742057492
whoof,2.97689134142852
nunny,2.9807509218659742
heeze,2.9822950249519153
queue,2.9872265815243026
chuck,2.992275960384196
hooch,2.994605274861525
pippy,2.99526821927387
villi,3.002357869477022
mizzy,3.0094914298174342
cooch,3.010829080956318
bivvy,3.0147702430538574
urubu,3.015808052407275
flyby,3.0159162752338644
wagga,3.0170232255904517
quipu,3.0218149666922574
cwtch,3.0291755774119227
twixt,3.032278421310975
zhomo,3.032725486468402
commo,3.0336980968294354
fuffs,3.0346662493983323
buggy,3.037644688054679
doggo,3.0438490804784393
zuzim,3.0450235303587836
jimmy,3.055953363384972
poppy,3.062055869401511
mommy,3.062236882475249
uhuru,3.0657146747620794
zippy,3.067701920131466
yucky,3.0725407991181766
hubby,3.0734663544757654
faffy,3.0882819913404025
kabab,3.0959690690568302
boozy,3.0970975741072797
tutty,3.100038604742851
jumby,3.102446982083611
pozzy,3.105009539976704
emmew,3.1054635511247777
humph,3.109774770957497
diddy,3.109965689941385
fixit,3.1111216799511636
pawaw,3.1139373685626395
huggy,3.116195309800365
yucch,3.1163022385120307
cubby,3.1164978323054364
gabba,3.116744971905668
kinin,3.1173292187432837
anana,3.1181306765580343
wuddy,3.1191368120053893
biffy,3.120118518782863
poopy,3.1217483854544876
quaff,3.1224868018923826
filii,3.1225203189252277
peeve,3.1233789082346295
fuddy,3.1295002879331055
abaka,3.1308387099712354
bluff,3.131411581255795
which,3.13147693636914
civvy,3.1317569110371184
woofy,3.132481186577421
nanna,3.1342618977325425
papaw,3.1343428662478803
jutty,3.1360873522429085
buppy,3.138659003836274
dizzy,3.145941333127852
cezve,3.1466726387825292
buffi,3.1484129880529257
muggy,3.1523388471982594
weeke,3.1534791050814834
zorro,3.15626955091127
zanza,3.15661877851573
ungum,3.158217296058971
guppy,3.162642679250737
babka,3.1644556397142662
gummy,3.1673303492504443
puggy,3.1694732072358986
jnana,3.169632827113875
effed,3.1725253092001675
ictic,3.1735221187106784
doddy,3.175276635206612
wiggy,3.176850580367876
luvvy,3.1847361967740873
figgy,3.1863579682196934
abuzz,3.190690268476739
vizir,3.198654890355753
zanja,3.2095788917487087
femme,3.210964012441759
yabby,3.21310783967598
abaca,3.215275331016922
tazza,3.2182224711584966
immit,3.218341167595913
miffy,3.222227215560468
minim,3.2224343939995754
whoop,3.227977807364509
buffo,3.230018622223572
